grid_number,endpoints,throughput,folder
178,371,4.934,run_agents200_endpoints371_grid00178
179,351,1.076,run_agents200_endpoints351_grid00179
180,366,3.776,run_agents200_endpoints366_grid00180
181,366,5.9,run_agents200_endpoints366_grid00181
182,358,5.397,run_agents200_endpoints358_grid00182
183,366,5.862,run_agents200_endpoints366_grid00183
184,356,5.669,run_agents200_endpoints356_grid00184
186,371,5.351,run_agents200_endpoints371_grid00186
187,350,1.242,run_agents200_endpoints350_grid00187
188,353,5.245,run_agents200_endpoints353_grid00188
189,367,5.677,run_agents200_endpoints367_grid00189
190,364,5.267,run_agents200_endpoints364_grid00190
191,372,5.739,run_agents200_endpoints372_grid00191
192,370,5.761,run_agents200_endpoints370_grid00192
193,360,0.754,run_agents200_endpoints360_grid00193
194,367,5.958,run_agents200_endpoints367_grid00194
195,355,5.684,run_agents200_endpoints355_grid00195
196,346,5.732,run_agents200_endpoints346_grid00196
197,373,6.092,run_agents200_endpoints373_grid00197
198,359,5.95,run_agents200_endpoints359_grid00198
199,367,5.962,run_agents200_endpoints367_grid00199
200,370,1.068,run_agents200_endpoints370_grid00200
202,363,5.859,run_agents200_endpoints363_grid00202
203,362,0.269,run_agents200_endpoints362_grid00203
204,341,5.524,run_agents200_endpoints341_grid00204
205,358,4.877,run_agents200_endpoints358_grid00205
206,363,5.693,run_agents200_endpoints363_grid00206
207,366,5.811,run_agents200_endpoints366_grid00207
208,367,2.832,run_agents200_endpoints367_grid00208
209,364,2.802,run_agents200_endpoints364_grid00209
210,353,5.651,run_agents200_endpoints353_grid00210
211,366,5.734,run_agents200_endpoints366_grid00211
212,365,5.966,run_agents200_endpoints365_grid00212
214,370,5.821,run_agents200_endpoints370_grid00214
215,356,5.703,run_agents200_endpoints356_grid00215
216,364,5.803,run_agents200_endpoints364_grid00216
217,361,5.924,run_agents200_endpoints361_grid00217
218,349,5.907,run_agents200_endpoints349_grid00218
219,359,5.847,run_agents200_endpoints359_grid00219
220,363,5.712,run_agents200_endpoints363_grid00220
221,357,1.184,run_agents200_endpoints357_grid00221
222,358,5.676,run_agents200_endpoints358_grid00222
223,350,5.797,run_agents200_endpoints350_grid00223
224,355,5.511,run_agents200_endpoints355_grid00224
225,363,5.502,run_agents200_endpoints363_grid00225
226,353,5.624,run_agents200_endpoints353_grid00226
227,366,5.722,run_agents200_endpoints366_grid00227
229,349,1.583,run_agents200_endpoints349_grid00229
230,364,5.213,run_agents200_endpoints364_grid00230
231,353,5.514,run_agents200_endpoints353_grid00231
232,349,1.771,run_agents200_endpoints349_grid00232
233,364,5.727,run_agents200_endpoints364_grid00233
234,356,1.209,run_agents200_endpoints356_grid00234
235,346,5.024,run_agents200_endpoints346_grid00235
236,353,2.355,run_agents200_endpoints353_grid00236
237,360,5.741,run_agents200_endpoints360_grid00237
238,365,0.88,run_agents200_endpoints365_grid00238
241,352,5.49,run_agents200_endpoints352_grid00241
242,364,5.873,run_agents200_endpoints364_grid00242
243,367,5.773,run_agents200_endpoints367_grid00243
244,345,5.638,run_agents200_endpoints345_grid00244
245,361,5.527,run_agents200_endpoints361_grid00245
246,355,5.899,run_agents200_endpoints355_grid00246
247,341,5.836,run_agents200_endpoints341_grid00247
248,354,1.837,run_agents200_endpoints354_grid00248
249,357,1.39,run_agents200_endpoints357_grid00249
250,358,5.403,run_agents200_endpoints358_grid00250
251,375,5.869,run_agents200_endpoints375_grid00251
252,352,2.394,run_agents200_endpoints352_grid00252
253,350,5.702,run_agents200_endpoints350_grid00253
254,347,5.573,run_agents200_endpoints347_grid00254
255,356,5.903,run_agents200_endpoints356_grid00255
256,354,3.121,run_agents200_endpoints354_grid00256
257,356,3.715,run_agents200_endpoints356_grid00257
258,359,5.954,run_agents200_endpoints359_grid00258
259,358,3.737,run_agents200_endpoints358_grid00259
260,365,5.842,run_agents200_endpoints365_grid00260
261,357,2.512,run_agents200_endpoints357_grid00261
262,366,5.126,run_agents200_endpoints366_grid00262
263,358,3.321,run_agents200_endpoints358_grid00263
264,364,5.707,run_agents200_endpoints364_grid00264
265,343,5.568,run_agents200_endpoints343_grid00265
266,352,2.296,run_agents200_endpoints352_grid00266
267,351,5.797,run_agents200_endpoints351_grid00267
268,356,0.325,run_agents200_endpoints356_grid00268
269,350,5.915,run_agents200_endpoints350_grid00269
270,366,5.835,run_agents200_endpoints366_grid00270
271,363,5.822,run_agents200_endpoints363_grid00271
272,362,5.914,run_agents200_endpoints362_grid00272
273,364,1.774,run_agents200_endpoints364_grid00273
274,355,2.889,run_agents200_endpoints355_grid00274
275,356,5.644,run_agents200_endpoints356_grid00275
276,360,5.75,run_agents200_endpoints360_grid00276
277,354,5.269,run_agents200_endpoints354_grid00277
278,350,0.845,run_agents200_endpoints350_grid00278
279,358,5.534,run_agents200_endpoints358_grid00279
280,348,5.507,run_agents200_endpoints348_grid00280
281,363,4.318,run_agents200_endpoints363_grid00281
282,365,2.571,run_agents200_endpoints365_grid00282
283,366,5.932,run_agents200_endpoints366_grid00283
284,348,5.508,run_agents200_endpoints348_grid00284
285,363,5.783,run_agents200_endpoints363_grid00285
286,359,0.518,run_agents200_endpoints359_grid00286
287,365,5.938,run_agents200_endpoints365_grid00287
288,358,1.565,run_agents200_endpoints358_grid00288
290,351,5.515,run_agents200_endpoints351_grid00290
291,354,5.486,run_agents200_endpoints354_grid00291
292,349,1.273,run_agents200_endpoints349_grid00292
293,356,5.519,run_agents200_endpoints356_grid00293
294,354,5.755,run_agents200_endpoints354_grid00294
295,357,5.373,run_agents200_endpoints357_grid00295
296,356,1.524,run_agents200_endpoints356_grid00296
297,351,2.227,run_agents200_endpoints351_grid00297
298,361,5.91,run_agents200_endpoints361_grid00298
299,367,1.858,run_agents200_endpoints367_grid00299
300,367,5.996,run_agents200_endpoints367_grid00300
301,368,6.018,run_agents200_endpoints368_grid00301
